,Store,Date,Temperature,Fuel_Price,CPI,Unemployment,Type,Size,Dept,Weekly_Sales,Holiday,Year,Month,Day
46,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,5,79340.15,Thanksgiving,2011,11,25
47,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,5,34981.76,Christmas,2011,12,30
48,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,5,38096.04,Super Bowl,2012,2,10
49,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,5,18236.15,Labor Day,2012,9,7
50,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,6,9135.0,Super Bowl,2010,2,12
51,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,6,4432.69,Labor Day,2010,9,10
52,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,6,20163.69,Thanksgiving,2010,11,26
53,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,6,5878.25,Christmas,2010,12,31
54,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,6,4542.8,Super Bowl,2011,2,11
55,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,6,6147.43,Labor Day,2011,9,9
56,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,6,18629.83,Thanksgiving,2011,11,25
57,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,6,6629.6,Christmas,2011,12,30
58,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,6,7338.85,Super Bowl,2012,2,10
59,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,6,2576.64,Labor Day,2012,9,7
60,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,7,18310.31,Super Bowl,2010,2,12
61,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,7,20824.49,Labor Day,2010,9,10
62,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,7,72635.06,Thanksgiving,2010,11,26
63,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,7,27433.06,Christmas,2010,12,31
64,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,7,21169.06,Super Bowl,2011,2,11
65,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,7,13370.82,Labor Day,2011,9,9
66,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,7,71151.34,Thanksgiving,2011,11,25
67,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,7,38216.01,Christmas,2011,12,30
68,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,7,21619.05,Super Bowl,2012,2,10
69,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,7,16941.42,Labor Day,2012,9,7
70,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,8,37334.83,Super Bowl,2010,2,12
71,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,8,32737.89,Labor Day,2010,9,10
72,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,8,34099.53,Thanksgiving,2010,11,26
73,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,8,32751.73,Christmas,2010,12,31
74,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,8,36011.09,Super Bowl,2011,2,11
75,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,8,34246.67,Labor Day,2011,9,9
76,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,8,33243.85,Thanksgiving,2011,11,25
77,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,8,32419.78,Christmas,2011,12,30
78,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,8,38317.89,Super Bowl,2012,2,10
79,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,8,38666.21,Labor Day,2012,9,7
80,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,9,16562.49,Super Bowl,2010,2,12
81,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,9,40143.87,Labor Day,2010,9,10
82,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,9,44504.17,Thanksgiving,2010,11,26
83,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,9,22884.84,Christmas,2010,12,31
84,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,9,16065.13,Super Bowl,2011,2,11
85,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,9,35450.71,Labor Day,2011,9,9
86,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,9,42228.79,Thanksgiving,2011,11,25
87,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,9,27192.39,Christmas,2011,12,30
88,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,9,20985.41,Super Bowl,2012,2,10
89,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,9,42920.95,Labor Day,2012,9,7
90,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,10,31494.77,Super Bowl,2010,2,12
91,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,10,32256.12,Labor Day,2010,9,10
92,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,10,31090.69,Thanksgiving,2010,11,26
93,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,10,25764.32,Christmas,2010,12,31
94,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,10,35673.56,Super Bowl,2011,2,11
95,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,10,31416.52,Labor Day,2011,9,9
96,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,10,30877.51,Thanksgiving,2011,11,25
97,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,10,26147.46,Christmas,2011,12,30
98,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,10,37764.38,Super Bowl,2012,2,10
99,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,10,30851.75,Labor Day,2012,9,7
100,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,11,21760.75,Super Bowl,2010,2,12
101,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,11,16107.93,Labor Day,2010,9,10
102,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,11,30865.64,Thanksgiving,2010,11,26
103,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,11,22443.1,Christmas,2010,12,31
104,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,11,17711.78,Super Bowl,2011,2,11
105,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,11,20208.4,Labor Day,2011,9,9
106,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,11,28315.7,Thanksgiving,2011,11,25
107,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,11,24030.39,Christmas,2011,12,30
108,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,11,25933.04,Super Bowl,2012,2,10
109,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,11,23338.99,Labor Day,2012,9,7
110,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,12,8654.07,Super Bowl,2010,2,12
111,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,12,10724.56,Labor Day,2010,9,10
112,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,12,9619.81,Thanksgiving,2010,11,26
113,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,12,6912.95,Christmas,2010,12,31
114,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,12,7642.11,Super Bowl,2011,2,11
115,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,12,10927.54,Labor Day,2011,9,9
116,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,12,7816.44,Thanksgiving,2011,11,25
117,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,12,7699.0,Christmas,2011,12,30
118,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,12,9587.35,Super Bowl,2012,2,10
119,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,12,12566.45,Labor Day,2012,9,7
120,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,13,36476.4,Super Bowl,2010,2,12
121,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,13,39525.93,Labor Day,2010,9,10
122,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,13,38371.99,Thanksgiving,2010,11,26
123,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,13,34081.52,Christmas,2010,12,31
124,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,13,36883.13,Super Bowl,2011,2,11
125,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,13,38045.63,Labor Day,2011,9,9
126,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,13,38625.48,Thanksgiving,2011,11,25
127,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,13,32871.95,Christmas,2011,12,30
128,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,13,43041.97,Super Bowl,2012,2,10
129,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,13,44373.19,Labor Day,2012,9,7
130,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,14,18129.02,Super Bowl,2010,2,12
131,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,14,12884.22,Labor Day,2010,9,10
132,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,14,38256.98,Thanksgiving,2010,11,26
133,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,14,21835.25,Christmas,2010,12,31
134,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,14,15647.59,Super Bowl,2011,2,11
135,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,14,13550.53,Labor Day,2011,9,9
136,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,14,39773.89,Thanksgiving,2011,11,25
137,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,14,25846.86,Christmas,2011,12,30
138,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,14,18292.4,Super Bowl,2012,2,10
139,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,14,13711.08,Labor Day,2012,9,7
140,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,16,11873.89,Super Bowl,2010,2,12
141,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,16,22643.73,Labor Day,2010,9,10
142,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,16,9225.41,Thanksgiving,2010,11,26
143,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,16,4987.81,Christmas,2010,12,31
144,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,16,9715.66,Super Bowl,2011,2,11
145,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,16,17838.29,Labor Day,2011,9,9
146,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,16,8400.69,Thanksgiving,2011,11,25
147,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,16,5052.77,Christmas,2011,12,30
148,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,16,13389.35,Super Bowl,2012,2,10
149,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,16,20473.94,Labor Day,2012,9,7
150,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,17,13403.66,Super Bowl,2010,2,12
151,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,17,9408.87,Labor Day,2010,9,10
152,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,17,13337.59,Thanksgiving,2010,11,26
153,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,17,10429.16,Christmas,2010,12,31
154,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,17,11068.7,Super Bowl,2011,2,11
155,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,17,8209.44,Labor Day,2011,9,9
156,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,17,12329.5,Thanksgiving,2011,11,25
157,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,17,10619.45,Christmas,2011,12,30
158,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,17,10461.07,Super Bowl,2012,2,10
159,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,17,8712.44,Labor Day,2012,9,7
160,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,18,19006.5,Super Bowl,2010,2,12
161,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,18,246.0,Labor Day,2010,9,10
162,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,18,33967.24,Thanksgiving,2010,11,26
163,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,18,20783.04,Christmas,2010,12,31
164,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,18,14587.89,Super Bowl,2011,2,11
165,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,18,149.24,Labor Day,2011,9,9
166,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,18,30543.19,Thanksgiving,2011,11,25
167,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,18,21444.65,Christmas,2011,12,30
168,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,18,12687.47,Super Bowl,2012,2,10
169,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,18,4.97,Labor Day,2012,9,7
170,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,19,1490.79,Super Bowl,2010,2,12
171,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,19,1772.53,Labor Day,2010,9,10
172,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,19,1114.47,Thanksgiving,2010,11,26
173,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,19,1234.64,Christmas,2010,12,31
174,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,19,1344.92,Super Bowl,2011,2,11
175,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,19,990.6,Labor Day,2011,9,9
176,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,19,831.4,Thanksgiving,2011,11,25
177,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,19,878.8,Christmas,2011,12,30
178,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,19,973.9,Super Bowl,2012,2,10
179,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,19,1225.7,Labor Day,2012,9,7
180,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,20,3697.7,Super Bowl,2010,2,12
181,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,20,2715.5,Labor Day,2010,9,10
182,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,20,5994.53,Thanksgiving,2010,11,26
183,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,20,3361.51,Christmas,2010,12,31
184,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,20,3232.53,Super Bowl,2011,2,11
185,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,20,3991.02,Labor Day,2011,9,9
186,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,20,5425.0,Thanksgiving,2011,11,25
187,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,20,4009.01,Christmas,2011,12,30
188,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,20,6051.57,Super Bowl,2012,2,10
189,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,20,4342.34,Labor Day,2012,9,7
190,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,21,8735.83,Super Bowl,2010,2,12
191,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,21,7966.59,Labor Day,2010,9,10
192,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,21,9093.19,Thanksgiving,2010,11,26
193,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,21,6349.45,Christmas,2010,12,31
194,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,21,8058.65,Super Bowl,2011,2,11
195,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,21,8021.04,Labor Day,2011,9,9
196,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,21,10158.02,Thanksgiving,2011,11,25
197,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,21,7329.41,Christmas,2011,12,30
198,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,21,8467.27,Super Bowl,2012,2,10
199,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,21,8258.47,Labor Day,2012,9,7
200,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,22,14807.95,Super Bowl,2010,2,12
201,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,22,8800.21,Labor Day,2010,9,10
202,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,22,15769.67,Thanksgiving,2010,11,26
203,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,22,11551.12,Christmas,2010,12,31
204,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,22,10871.95,Super Bowl,2011,2,11
205,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,22,9716.37,Labor Day,2011,9,9
206,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,22,20555.07,Thanksgiving,2011,11,25
207,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,22,10671.89,Christmas,2011,12,30
208,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,22,11817.34,Super Bowl,2012,2,10
209,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,22,7669.83,Labor Day,2012,9,7
210,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,23,22812.41,Super Bowl,2010,2,12
211,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,23,16086.08,Labor Day,2010,9,10
212,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,23,33328.17,Thanksgiving,2010,11,26
213,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,23,18054.72,Christmas,2010,12,31
214,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,23,22686.25,Super Bowl,2011,2,11
215,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,23,16403.15,Labor Day,2011,9,9
216,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,23,31848.99,Thanksgiving,2011,11,25
217,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,23,23757.52,Christmas,2011,12,30
218,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,23,25581.44,Super Bowl,2012,2,10
219,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,23,17406.85,Labor Day,2012,9,7
220,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,24,8050.24,Super Bowl,2010,2,12
221,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,24,4214.57,Labor Day,2010,9,10
222,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,24,11915.5,Thanksgiving,2010,11,26
223,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,24,4562.4,Christmas,2010,12,31
224,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,24,7695.45,Super Bowl,2011,2,11
225,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,24,4212.08,Labor Day,2011,9,9
226,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,24,10847.14,Thanksgiving,2011,11,25
227,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,24,4818.81,Christmas,2011,12,30
228,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,24,7473.32,Super Bowl,2012,2,10
229,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,24,5138.69,Labor Day,2012,9,7
230,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,25,13268.75,Super Bowl,2010,2,12
231,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,25,8239.24,Labor Day,2010,9,10
232,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,25,11504.57,Thanksgiving,2010,11,26
233,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,25,7182.16,Christmas,2010,12,31
234,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,25,8484.31,Super Bowl,2011,2,11
235,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,25,9241.48,Labor Day,2011,9,9
236,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,25,11997.22,Thanksgiving,2011,11,25
237,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,25,9327.8,Christmas,2011,12,30
238,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,25,10179.01,Super Bowl,2012,2,10
239,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,25,7461.45,Labor Day,2012,9,7
240,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,26,10050.92,Super Bowl,2010,2,12
241,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,26,6160.0,Labor Day,2010,9,10
242,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,26,11918.3,Thanksgiving,2010,11,26
243,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,26,5003.84,Christmas,2010,12,31
244,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,26,7738.63,Super Bowl,2011,2,11
245,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,26,4217.53,Labor Day,2011,9,9
246,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,26,8690.17,Thanksgiving,2011,11,25
247,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,26,5036.62,Christmas,2011,12,30
248,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,26,9120.37,Super Bowl,2012,2,10
249,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,26,5011.22,Labor Day,2012,9,7
250,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,27,2339.5,Super Bowl,2010,2,12
251,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,27,832.26,Labor Day,2010,9,10
252,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,27,2099.1,Thanksgiving,2010,11,26
253,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,27,1624.8,Christmas,2010,12,31
254,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,27,1643.21,Super Bowl,2011,2,11
